CompanyName,street,City,State,ZipCode,ZipPlus,ContactFirstName,ContactLastName,ContactTitle,Phone,BusinessDescription,PrimaryNAICS,NAICS2,NAICS3,NAICS4,NAICS5,BusinessType,County,Employee,AnnualSales,URL,YearEstablished
217 Brew Works,217 South St S,Wilson,NC,27893,4911,Tom,Curran,Owner,2529916958,Brewers (mfrs),312120,,,,,Private,Wilson,14,10453000,217BREWWORKS.COM,2016
All Sevens Brewing,777 Haywood Rd,Asheville,NC,28806,3132,,,,8282259782,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2018
Altamont Brewing Co,1050 Haywood Rd,Asheville,NC,28806,2639,,,,8284123212,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2017
Andrews Brewing Co,1026 Main St,Andrews,NC,28901,,,,,8283212006,Brewers (mfrs),312120,,,,,Private,Cherokee,14,17916000,,2018
Angry Troll Brewing,222 E Main St # U2,Elkin,NC,28621,3493,Cicely,Mc Culloch,Owner,3368350103,Brewers (mfrs),312120,,,,,Private,Surry,12,16648000,ANGRYTROLLBREWING.COM,2015
Archetype Brewing LLC,54 Madison Ave,Asheville,NC,28801,1934,Bradford,Casanova,Owner,8280001111,Brewers (mfrs),312120,,,,,Private,Buncombe,23,34511000,,2016
Artisanal Brewing Ventures,2651 Bagby Ln # B,Charlotte,NC,28208,3651,John,Coleman,CEO,7040001111,Brewers (mfrs),312120,551112,,,,Private,Mecklenburg,14,,ARTISANBEVERAGEGROUP.COM,2016
Artisanal Brewing Ventures,4001 Yancey Rd,Charlotte,NC,28217,1771,John P,Coleman,Owner,7040001111,Brewers (mfrs),312120,,,,,Private,Mecklenburg,14,7049000,,2017
Ass Clown Brewing Co,10620 Bailey Rd # E,Cornelius,NC,28031,9364,Matt,Glidden,Owner,9805050399,Brewers (mfrs),312120,445310,445310,,,Private,Mecklenburg,14,7049000,ASSCLOWNBREWING.COM,2011
Aviator Brewing Co,209 Technology Park Ln,Fuquay Varina,NC,27526,9311,Mark,Doble,CEO,9195672337,Brewers (mfrs),312120,,,,,Private,Wake,4,1761000,AVIATORBREW.COM,2008
Back Nine Pub,4220 NW Cary Pkwy,Cary,NC,27513,8411,Sandy,Rossini,Owner,9194623550,Brewers (mfrs),312120,722511,722410,,,Private,Wake,10,4401000,THEBACK9PUB.COM,2010
