Company Name,Street Address,City,State,Zip Code,Zip Plus,Contact First Name,Contact Last Name,Contact Title,Phone,Business Description,Primary NAICS,NAICS2,NAICS3,NAICS4,NAICS5,Business Type,County,Employee,Annual Sales,URL,Year Established
123 Bottle Shoppe,304 Dicks Hill Pkwy,Mt Airy,GA,30563,,Iftee,Amad,Owner,7067784341,Liquors-Retail,445310,,,,,Private,Habersham,3,655000,,1987
17th Street Market & Deli,115 17th St SW,Knoxville,TN,37916,1313,Randall,Sidwell,Manager,8656734807,Beer & Ale-Retail,445310,445110,445120,722511,722513,Private,Knox,6,2114000,,1988
202 North Main,202 N Main St,Mooresville,NC,28115,2528,Mike,Parker,Owner,7046635445,Wines-Retail,445310,,,,,Private,Iredell,2,500000,202WINES.COM,2003
3 Guys Liquors & Spirits,501 Highway 418 # C,Simpsonville,SC,29680,7161,Phil,Maines,Owner,8648629500,Liquors-Retail,445310,424820,,,,Private,Greenville,1,374000,3GUYSLIQUORS.COM,2006
501 Liquors,152 Middle Ridge Ave,Conway,SC,29526,1504,,,,8432340317,Liquors-Retail,445310,,,,,Private,Horry,2,679000,,2015
580 Craft Beer,354 East St,Pittsboro,NC,27312,9722,,,,9195425431,Beer & Ale-Retail,445310,,,,,Private,Chatham,4,747000,580CRAFTBEER.COM,2015
6 Pac Smokestack,2077 US 70 Hwy # A,Swannanoa,NC,28778,8218,Dean,Mian,Owner,8282982421,Beer & Ale-Retail,445310,,,,,Private,Buncombe,4,1792000,,2002
640 Liquor Store,4425 Western Ave,Knoxville,TN,37921,4306,Wesley,Maples,Owner,8656370640,Liquors-Retail,445310,445310,,,,Private,Knox,10,3522000,,1984
68 Wine & Spirits,209 N Main St,Sweetwater,TN,37874,2806,David,Bryan,Owner,4233373050,Liquors-Retail,445310,445310,,,,Private,Monroe,5,1054000,,2011
707 Discount Liquors,8724 Highway 707 # C,Myrtle Beach,SC,29588,7378,,,,8436503077,Liquors-Retail,445310,,,,,Private,Horry,2,679000,,2010
A & C Liquors LLC,9900 N Kings Hwy,Myrtle Beach,SC,29572,4054,Gram,Hoyt,Owner,8432327074,Liquors-Retail,445310,,,,,Private,Horry,1,340000,,2014
A & M Liquor-Party Store,6306 Highway 29 S,Starr,SC,29684,9402,Pete,Patel,President,8642259055,Liquors-Retail,445310,445310,,,,Private,Anderson,1,478000,,1987
A & P Liquor,2309 Reidville Rd,Spartanburg,SC,29301,3651,,,,8647075231,Liquors-Retail,445310,,,,,Private,Spartanburg,2,688000,,2017
A & P Liquor Store,301 E Front St,Mullins,SC,29574,2911,,,,8434642376,Liquors-Retail,445310,445310,,,,Private,Marion,3,559000,,2011
A & S Liquors,202 3rd Loop Rd # F,Florence,SC,29505,3795,,,,8436693005,Liquors-Retail,445310,445310,,,,Private,Florence,3,649000,,2006
A B & C Store Warsaw,114 S Pine St,Warsaw,NC,28398,1925,Diane,Blackburn,Manager,9102934656,Liquors-Retail,445310,,,,,Private,Duplin,3,543000,,2010
A B C Reelsboro,6936 North Carolina Highway 55,Grantsboro,NC,28529,,Dora,Benton,Manager,2527455225,Liquors-Retail,445310,,,,,Private,Pamlico,2,618000,,2016
A J Liquors,120 Highway 14 # 120B,Simpsonville,SC,29681,6056,,,,8649673191,Liquors-Retail,445310,,,,,Private,Greenville,2,748000,,2010
A Sip of Brandi,6462 Whitmire Hwy,Whitmire,SC,29178,9354,Brandy,Brown,Owner,8032815043,Liquors-Retail,445310,,,,,Private,Union,1,165000,,2017
A To Z Liquor,153 Walton Dr,Gaffney,SC,29341,1268,,,,8644892223,Liquors-Retail,445310,445310,,,,Private,Cherokee,2,463000,,2012
Aaa Airport Liquors,2290 S Kings Hwy # B,Myrtle Beach,SC,29577,4820,Phillip,Antoine,Manager,8434480835,Liquors-Retail,445310,312130,,,,Private,Horry,2,679000,MYRTLEBEACHLIQUORS.COM,2014
AAA Package Store,910 W Market St,Johnson City,TN,37604,5331,Ahmed,Usso,Owner,4239280831,Liquors-Retail,445310,,,,,Private,Washington,3,901000,,1984
Ab Control Store,2961 US 221 N,Marion,NC,28752,9823,Debra,Melton,Manager,8286525328,Liquors-Retail,445310,,,,,Private,McDowell,6,1166000,,2010
ABC Belville,44 River Rd SE,Belville,NC,28451,7427,Michele,York,Manager,9103713383,Liquors-Retail,445310,445310,,,,Private,Brunswick,6,1304000,,1999
ABC Board,2634 Durham Chapel Hill # 100,Durham,NC,27707,2875,Randolph,Mills,Site Manager,9194196217,Liquors-Retail,445310,,,,,Private,Durham,10,2751000,DURHAMABC.COM,1999
ABC Board,115 N Cedar St,Greensboro,NC,27401,2228,Vickee,Armstrong,CEO,3362746304,Liquors-Retail,445310,,,,,Private,Guilford,95,35048000,GREENSBOROABC.COM,1996
ABC Board,201 W Fairfield Rd,High Point,NC,27263,1925,Rosalin,Stewart,Manager,3368613009,Liquors-Retail,445310,,,,,Private,Guilford,35,12913000,HIGHPOINTABC.COM,2014
ABC Board,603 W Harden St,Graham,NC,27253,2106,Larry,Brooks,Exec Director,3362266882,Liquors-Retail,445310,445310,,,,Private,Alamance,23,4965000,,2001
ABC Board of Pitt County,205 Queen St,Grifton,NC,28530,,,,,2525244533,Liquors-Retail,445310,,,,,Private,Pitt,1,232000,ABC.ORG,2006
ABC Board of Pitt County 4,3196 E 10th St,Greenville,NC,27858,4247,Kristan,Highsmith,Manager,2527582033,Liquors-Retail,445310,,,,,Private,Pitt,4,927000,ABC.NC.GOV,2006
ABC Board of Troutman,511 N Main St,Troutman,NC,28166,,,,,7045081407,Liquors-Retail,445310,445310,,,,Private,Iredell,5,1249000,,2016
ABC Board Triad Municipal,6850 Shallowford Rd,Lewisville,NC,27023,9704,,,,3367887141,Liquors-Retail,445310,,,,,Private,Forsyth,5,2410000,TRIADABC.ORG,1951
ABC Board Triad Municipal,4017 Country Club Rd,Winston Salem,NC,27104,3613,Gregory,Bradsher,Administrator,3367887141,Liquors-Retail,445310,,,,,Private,Forsyth,4,1928000,FORSYTHABC.ORG,1951
ABC Board Triad Municipal,3000 High Point Rd,Winston Salem,NC,27107,1720,Gregory,Bradsher,Administrator,3367887141,Liquors-Retail,445310,,,,,Private,Forsyth,4,1928000,TRIADABC.ORG,1992
ABC Board Triad Municipal,911 S State St,Yadkinville,NC,27055,6765,,,,3367887141,Liquors-Retail,445310,,,,,Private,Yadkin,5,916000,TRIADABC.ORG,1951
ABC Board Triad Municipal,2207 Oak Ridge Rd,Oak Ridge,NC,27310,9619,James,Waddell,President,3367887141,Liquors-Retail,445310,,,,,Private,Guilford,4,1476000,TRIADABC.ORG,1951
ABC Board Triad Municipal,2450 Market Center Dr,Clemmons,NC,27012,,Jeanette,Hatcher,Manager,3367887141,Liquors-Retail,445310,,,,,Private,Forsyth,5,2410000,TRIADABC.ORG,1951
ABC Board-Orange County,122 US Highway 70 E,Hillsborough,NC,27278,2173,,,,9197323432,Liquors-Retail,445310,445310,,,,Private,Orange,4,453000,,2016
ABC Board-Pitt County Store,3765 West Wilson St,Farmville,NC,27828,,Patricia,Dunn,Chairman,2527534407,Liquors-Retail,445310,445310,,,,Private,Pitt,2,464000,PITT.ABC.NC.GOV,2012
ABC Chowan Store,1328 N Broad St,Edenton,NC,27932,1464,Lewis,Waters,Manager,2524822622,Liquors-Retail,445310,,,,,Private,Chowan,5,913000,,2006
ABC Law Enforcement,3127 Starlight Dr,Winston Salem,NC,27107,4141,Gregory,Bradshar,Administrator,3367845808,Liquors-Retail,445310,,,,,Private,Forsyth,15,7228000,TRIADABC.ORG,1951
ABC Liquor Store,987 Nc Highway 210,Sneads Ferry,NC,28460,,Lisa,Poe,Manager,9103272064,Liquors-Retail,445310,,,,,Private,Onslow,8,1723000,,2017
ABC Liquor Store,1067 Independence Blvd,Virginia Beach,VA,23455,5523,Michael,Forbes,Site Manager,7573633866,Liquors-Retail,445310,,,,,Private,Virginia Beach,11,145000,,2012
ABC Liquor Store,3331 Pineville Matthews Rd,Charlotte,NC,28226,,Calvin,Mcdougal,Owner,7045404217,Liquors-Retail,445310,,,,,Private,Mecklenburg,4,2024000,,2012
ABC Liquor Stores,115 Workshop Ln,Jacksonville,NC,28546,7553,Rochelle,Pittman,Manager,9104558121,Liquors-Retail,445310,,,,,Private,Onslow,6,1293000,ABC12NEWS.COM,2002
ABC Liquor Stores,2500 Onslow Dr,Jacksonville,NC,28540,5610,Jewell,Thomas,Manager,9103471027,Liquors-Retail,445310,,,,,Private,Onslow,7,1508000,,1994
ABC Liquor Stores,419 S Marine Blvd,Jacksonville,NC,28540,3670,Rochelle,Pittman,Manager,9103463026,Liquors-Retail,445310,,,,,Private,Onslow,3,647000,,1992
ABC Liquor Stores,964 Nc Highway 210,Sneads Ferry,NC,28460,9135,,,,9103272064,Liquors-Retail,445310,,,,,Private,Onslow,5,1077000,ABCFWS.COM,1994
ABC Liquor Stores,1073 W Corbett Ave,Swansboro,NC,28584,8459,Heather,Cortese,Manager,9103264810,Liquors-Retail,445310,,,,,Private,Onslow,4,862000,,1996
ABC Mart,313 Beatty Drive,Mt Holly,NC,28120,,,,,8155053536,Liquors-Retail,445310,,,,,Private,Gaston,6,176000,,2018
ABC of Sparta,48 S Main St,Sparta,NC,28675,9643,Barry,Atwood,Manager,3363724696,Liquors-Retail,445310,445310,,,,Private,Alleghany,4,1235000,SKYBEST.COM,1998
ABC Package Store,2918 N Herritage St,Kinston,NC,28501,1580,Brantly,Uzell,Manager,2525221331,Liquors-Retail,445310,,,,,Private,Lenoir,5,1543000,,2018
ABC Package Store,530 N Glenwood Ave,Dalton,GA,30721,2813,Fal,Patel,Owner,7062787113,Liquors-Retail,445310,445310,,,,Private,Whitfield,3,829000,ABCCONCEPTS.COM,1986
ABC Party Store,648 Lancaster Hwy # C,Chester,SC,29706,3612,Jim,Pauls,Owner,8033778901,Liquors-Retail,445310,,,,,Private,Chester,2,385000,,1996
