"Company Name","Street Address","City","State","Zip Code","Zip Plus","Contact First Name","Contact Last Name","Contact Title","Phone","Business Description","Primary NAICS","NAICS2","NAICS3","NAICS4","NAICS5","Business Type","County","Employee","Annual Sales","URL","Year Established"
"Triangle Craft Beer Alliance","3709 Neil St","Raleigh","NC","27607","5415","","","","9190001111","Beer & Ale-Retail","445310","","","","","Private","Wake","2.00","39000.00","","2017"
"Triangle Wine Co","575 New Waverly Pl # 103-B","Cary","NC","27518","1611","","","","9193073966","Wines-Retail","445310","","","","","Private","Wake","2.00","39000.00","TRIANGLEWINECO.COM","2011"
"Triangle Wine Co","3735 Davis Dr # 113","Morrisville","NC","27560","8907","Glenn","Hagedorn","Partner","9194621912","Wines-Retail","445310","445310","","","","Private","Wake","2.00","39000.00","TRIANGLEWINECO.COM","2011"
"Triangle Wine Co","144 Brucewood Rd","Southern Pines","NC","28387","5143","Erin","Russell","Manager","9102462100","Wines-Retail","445310","445310","","","","Private","Moore","5.00","1199000.00","TRIANGLEWINECO.COM","2011"
"Trouts Beverage Warehouse","220 Shelby Ln","Jasper","GA","30143","6207","Jack","Short","Owner","7062532950","Liquors-Retail","445310","424490","445299","445310","","Private","Pickens","15.00","3228000.00","","2004"
"Trouts Beverages","1759 Highway 53 W","Jasper","GA","30143","3982","Jack","Short","Owner","7062532900","Beer & Ale-Retail","445310","493110","445299","","","Private","Pickens","8.00","1722000.00","","2003"
"Tryon Bottle","15 S Trade St","Tryon","NC","28782","6654","","","","8288596473","Wines-Retail","445310","445310","","","","Private","Polk","2.00","372000.00","TRYONBOTTLE.COM","2017"
"Tupacz Liquors & Fine Wine","929 1/2 Church St","Georgetown","SC","29440","3511","Edward","Tupacz","Owner","8435465389","Liquors-Retail","445310","","","","","Private","Georgetown","2.00","472000.00","CHAMBEROFCOMMERCE.COM","1976"
"Turkey Creek Wine & Spirits","10903 Turkey Dr","Knoxville","TN","37934","1970","Roger","Holt","Manager","8657779463","Liquors-Retail","445310","445310","","","","Private","Knox","14.00","4931000.00","KNOXVILLEWINE.COM","2003"
"Twin Pines Spirits","1487 Charlotte Hwy","Lancaster","SC","29720","9498","","","","8032861271","Wines-Retail","445310","","","","","Private","Lancaster","1.00","247000.00","","1999"
"Uncork'd","115 W Washington St","Suffolk","VA","23434","5228","Parke","Babiy","Manager","7575395397","Wines-Retail","445310","","","","","Private","Suffolk","3.00","815000.00","","2014"
"Uncorked","126 N Main St","Mt Airy","NC","27030","3808","","","","3367861957","Wines-Retail","445310","","","","","Private","Surry","2.00","436000.00","","2011"
"Unicoi Wine & Spirits","100 Rocky Bottom Dr # 5","Unicoi","TN","37692","4068","","","","4237439463","Wines-Retail","445310","424690","445310","","","Private","Unicoi","8.00","1618000.00","","2013"
"University Liquors","1919 Cumberland Ave","Knoxville","TN","37916","2907","Helen","Morton","Owner","8655468657","Liquors-Retail","445310","445310","","","","Private","Knox","6.00","2114000.00","","1986"
"Upstate Craft Beer Co","400 Augusta St # 140","Greenville","SC","29601","3552","","","","8646094590","Beer & Ale-Retail","445310","","","","","Private","Greenville","2.00","748000.00","","2015"
"Uptown Wine & Gallery","240 E Main St","Yadkinville","NC","27055","8259","","","","3366771115","Liquors-Retail","445310","","","","","Private","Yadkin","5.00","916000.00","SHALLOWFORDWINETRAIL.COM","2009"
"V & B Liquor","1021 W Main St","Central","SC","29630","9229","David","Amberg","Owner","8646390130","Liquors-Retail","445310","445310","","","","Private","Pickens","2.00","475000.00","","2006"
"Va State Liquor Store","1067 Independence Blvd","Virginia Beach","VA","23455","5523","Mike","Forbes","Manager","7573633866","Liquors-Retail","445310","","","","","Private","Virginia Beach","12.00","158000.00","ABC.VIRGINIA.GOV","2012"
"Vabc","11409 Windsor Blvd","Windsor","VA","23487","5656","Kathy","Gillette","Manager","7572426708","Liquors-Retail","445310","","","","","Private","Isle of Wight","2.00","354000.00","ABC.VIRGINIA.GOV","2007"
"Valdese ABC Store","1018 Main St W","Valdese","NC","28690","2614","Karen","Caruso","Manager","8288792227","Liquors-Retail","445310","","","","","Private","Burke","6.00","1294000.00","VABCNC.COM","2010"
"Village ABC","925 Crossroads Plz","Fort Mill","SC","29708","8030","Bradford","Yanda","Owner","8035480472","Liquors-Retail","445310","445310","","","","Private","York","3.00","1421000.00","ABC.GO.COM","1958"
"Village Cellar","4078 Charlotte Hwy","Lake Wylie","SC","29710","","","","","8038319527","Liquors-Retail","445310","","","","","Private","York","2.00","948000.00","THEVILLAGECELLAR.NET","2011"
"Village Package Store","1107 S Main St","Fountain Inn","SC","29644","2319","Andrea","Evans","President","8648624659","Liquors-Retail","445310","445310","","","","Private","Laurens","4.00","769000.00","","2002"
"Village Wine Shop","80 Magnolia Rd","Pinehurst","NC","28374","9353","Gwen","Detering","Mfg Exec","9102955100","Wines-Retail","445310","","","","","Private","Moore","3.00","720000.00","M.VILLAGEWINESHOP.NET","2010"
"Vino Wine Shop","89 Hillsboro St","Pittsboro","NC","27312","","Anna","Kizer","Owner","9195423922","Wines-Retail","445310","","","","","Private","Chatham","3.00","560000.00","VINOWINESHOPNC.COM","2012"
"Vinotopia","4122 Bennett Memorial Rd # 105","Durham","NC","27705","1207","John Harper","Hornaday","Other","9199070207","Wines-Retail","445310","","","","","Private","Durham","2.00","551000.00","","2017"
"Vintage","109 E College Ave","Hartsville","SC","29550","3705","","","","8439170161","Wines-Retail","445310","","","","","Private","Darlington","4.00","861000.00","","2009"
"Vintage Cellar","1338 S Main St","Blacksburg","VA","24060","5526","Keith","Roberts","Owner","5409532675","Wines-Retail","445310","","","","","Private","Montgomery","8.00","2251000.00","VINTAGECELLAR.COM","1986"
"Vintner Wine Market","8128 Providence Rd # 500","Charlotte","NC","28277","9742","Steve","Weiner","Manager","7045439909","Liquors-Retail","445310","445310","","","","Private","Mecklenburg","10.00","5060000.00","VINTNERWINEMARKETNC.COM","2006"
"Virginia ABC","61 N Mallory St","Hampton","VA","23663","1743","John","Jones","Manager","7577274852","Liquors-Retail","445310","","","","","Private","Hampton","5.00","1168000.00","","1996"
"Virginia ABC","110 Kings Hwy","Keysville","VA","23947","","Sharon","Finggan","Manager","4347368100","Liquors-Retail","445310","","","","","Private","Charlotte","5.00","1006000.00","VIRGINIAABC.COM","2018"
"Virginia ABC","5832 Northampton Blvd","Virginia Beach","VA","23455","4661","Brian","Grant","Manager","7573635872","Liquors-Retail","445310","","","","","Private","Virginia Beach","10.00","132000.00","ABC.VIRGINIA.GOV","2018"
"Virginia ABC 282","2400 Cunningham Dr # 600","Hampton","VA","23666","6501","Latasha","Jordan","Manager","7578257838","Liquors-Retail","445310","","","","","Private","Hampton","20.00","4672000.00","ABC.VIRGINIA.GOV","2012"
"Virginia Alcoholic Beverage","2777 Greensboro Rd","Martinsville","VA","24112","0893","Jamie","Farris","Site Manager","2766320905","Liquors-Retail","445310","445310","","","","Private","Henry","5.00","955000.00","ABC.VIRGINIA.GOV","1997"
"Virginia Alcoholic Beverage","821 W Constance Rd","Suffolk","VA","23434","5649","Cathie","Gilchrist","Site Manager","7579252239","Liquors-Retail","445310","","","","","Private","Suffolk","11.00","2987000.00","ABCSTORE.298.COM","1992"
"Virginia Department-Alcoholic","235 N Union St","Danville","VA","24541","1029","Crystal","Aaron","Manager","4347915327","Liquors-Retail","445310","","","","","Private","Danville","5.00","1191000.00","ABC.VIRGINIA.GOV","2011"
"Virginia Department-Alcoholic","301 Market Dr # H","Emporia","VA","23847","1220","Betsy","Powers","Site Manager","4346343751","Liquors-Retail","445310","424490","","","","Private","Emporia","3.00","623000.00","VIRGINIAAVC.GOV","2011"
"Virginia Liquor Store","112 N Main St","Chase City","VA","23924","1610","M W","Reynolds","Manager","4343724644","Liquors-Retail","445310","454110","","","","Private","Mecklenburg","3.00","546000.00","VIRGINIALIQUORPRICES.COM","1993"
"Virginia State Liquor","10872 Warwick Blvd","Newport News","VA","23601","3711","Kolisha","Pittman","Manager","7575947394","Liquors-Retail","445310","","","","","Private","Newport News","7.00","1643000.00","","1991"
"Virginia State Liquor","4909 Mercury Blvd","Newport News","VA","23605","1601","Doreen","Harmon","Manager","7578257834","Liquors-Retail","445310","","","","","Private","Newport News","10.00","2347000.00","","2012"
"Virginia State Liquor Store","1612 Laskin Rd # 774A","Virginia Beach","VA","23451","6197","Dave","Warren","Manager","7574915138","Liquors-Retail","445310","","","","","Private","Virginia Beach","20.00","263000.00","ABC.VIRGINIA.GOV","1984"
"Virginia State Liquor Store","2301 Colley Ave # M","Norfolk","VA","23517","1144","Melissa","Parker","Manager","7576838325","Liquors-Retail","445310","","","","","Private","Norfolk","10.00","2639000.00","ABC.VIRGINIA.GOV","2012"
"Virginia State Liquor Store","1103 S Military Hwy","Chesapeake","VA","23320","2343","Gina","Riccio","Manager","7574246705","Liquors-Retail","445310","","","","","Private","Chesapeake","14.00","3622000.00","ABC.VIRGINIA.GOV","2002"
"Viva Wine Bar","110 E Church St","Anderson","SC","29624","1617","","","","8444882866","Wines-Retail","445310","","","","","Private","Anderson","4.00","1911000.00","VIVAWINEBAR.COM","2016"
"Wade Hampton Liquors","2816 Wade Hampton Blvd","Taylors","SC","29687","2712","Danny","Patel","Owner","8643229046","Liquors-Retail","445310","445310","445310","","","Private","Greenville","1.00","374000.00","WADEHAMPTONLIQUOR.COM","1992"
"Wake County ABC","100 Village Walk Dr","Holly Springs","NC","27540","7679","Jeff","Keith","Site Manager","9192852908","Liquors-Retail","445310","445310","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"Wake County ABC Board","4501 Vineyard Pine Ln","Rolesville","NC","27571","","","","","9195540071","Liquors-Retail","445310","","","","","Private","Wake","3.00","58000.00","WAKEABC.COM","1937"
"Wake County ABC Board","1212 Wicker Dr","Raleigh","NC","27604","1428","Joel","Keith","General Mgr","9198322726","Liquors-Retail","445310","445310","","","","Private","Wake","7.00","134000.00","WAKEABC.COM","1937"
"Wallace ABC Commission","301 N Norwood St","Wallace","NC","28466","","Myrle","Beringer","Manager","9102853335","Liquors-Retail","445310","","","","","Private","Duplin","2.00","362000.00","","2012"
"Walnut Cove ABC Board","521 N Main St","Walnut Cove","NC","27052","","","","","3365917447","Liquors-Retail","445310","445310","","","","Private","Stokes","4.00","764000.00","ABC.NC.GOV","2007"
"Source: Employer information is provided by Infogroup, Omaha, NE,800/555-5211"
"Copyright 2019 All Rights Reserved. "
"Note:  The infoUSA data shall not be used in any manner as a factor in establishing an employer's eligibility for credit. "
"The information or data obtained from the employer database shall not be used in any manner as a factor in establishing an employer's eligibility for credit. Data represents employer database as of March 2019 "
